'Track Name','Artist Name(s)','Album Name'
'Love Failure',Ramu,'Love Failure'
'Gurthu Kochi Naapudala',Ramu,'Love Failure'
Vellipoke,'Ranjith Govind','Memu Vayasuku Vachham'
'Teliyade Teliyade','Sid Sriram, Aditi Bhavaraju','Miles Of Love'
Yemaiundacho,'Vijai Bulganin',Yemaiundacho
'Tharagathi Pathos','Kala Bhairava','Colour Photo'
'Okariki Okarani','Devi Sri Prasad','Rowdy Boys'
Inthena,Chinmayi,Jaanu
'Sandram Lona Neerantha','Sean Roldan',Uppena
'Manase Swayanga','Yashika Sikka',Sehari
Raletti,'Divya S Menon','World Famous Lover'
Sakhiyae,'G. V. Prakash, Yadu Krishnan K','Aakaasam Nee Haddhu Ra (Original Motion Picture Soundtrack)'
'Niluvave Vaalu Kanula Dhaana','N. S. Prakash',Illarikam
Vellipomaake,'Sid Sriram, ADK','Saahasam Swaasaga Saagipo'
Doorame,'Rahul Sipligunj',Doorame
Manakadha,'L. V. Revanth','World Famous Lover'
'Choododde Nannu','Tippu, Sumangali',Aaru
Hrudhayam,'Hemachandra Vedala',Parugu
'Em Cheppanu',Karthik,'Nenu Sailaja'
'Oopiri Aaguthunnadey','L. V. Revanth','Arjun Reddy'
'Nuvve Nuvve Kavalantundi','K. S. Chithra','Nuvve Nuvve'
'Kannula Baasalu',Karthik,'7G Brundhavana Colony'
'Manasanta Mukkalu Chesi',KK,'Prema Kavali'
'Nuvvante Pranamani','Vijay Yesudas','Naa Autograph'
Selavanuko,Chaitra,'Heart Attack'
