'Name','Artists','Album'
'Vilaya Pralaya Moorthy','Sriram, M.L.R. Karthikeyan, Malathi',Kanchana
Rudrakaali,Deepak,'Kanchana 3'
'Karraata Kurraata','Hemachandra Vedala',Ganga
'Vaaya Veera','Shakthisree Gopalan','Kanchana 2'
'Kammukonna Chikatlona','Kailash Kher',Arundhati
'Bhu Bhu Bhujangam','K. S. Chithra',Arundhati
'Bhayapadi Adivantha','Baby Angelin',Ganga
Thudilenidhi,'Arun Ingle, Manishankar Lyer, Bapi-Tutul',Raktacharitra
'Katthula Toh','Ram Gopal Varma',Raktacharitra
Ghirani,'S. P. Balasubrahmanyam',Nagavalli
'Ninu Veedani Needanu Nene','Thaman S, Yazin Nizar','Ninu Veedani Needanu Nene (Original Motion Picture Soundtrack)'
'Usure Poyene','A.R. Rahman, Karthik','Villain (Original Motion Picture Soundtrack)'
