Track Name,Artist Name(s),Album Name
Inthandham ,"Vishal Chandrashekhar, S.P. Charan",Sita Ramam
Kumkumala ,"Pritam, Sid Sriram",Brahmastra
Hrudayama ,"Sricharan Pakala, Sid Sriram",Major
Oh Isha ,"Armaan Malik, Chinmayi, Sricharan Pakala",Major 
Pataas Pilla,"Sricharan Pakala, Anirudh Ravichander",DJ Tillu
Megham Karigena,"Anudeep Dev, Krishna Kanth, Anirudh Ravichander",Thiru
Lollipop,Sid Sriram,Lollipop
Em Sandeham Ledu,"Kalyani Malik, Sunitha",Oohalu Gusagusalade (Original Motion Picture Soundtrack)
Inthalo Ennenni Vinthalo Male,Naresh Iyer,Karthikeya
"Baguntundhi Nuvvu Navvithe (From ""Atithi Devobhava"")","Shekar Chandra, Sid Sriram, Nutana Mohan",Atithi Devobhava
Mehabooba,"Ravi Basrur, Ananya Bhat",KGF Chapter 2 (Original Motion Picture Soundtrack)
Darshana,"Hesham Abdul Wahab, Darshana Rajendran",Hridayam (Side A) [Original Motion Picture Soundtrack]
Neetho Unte Chalu,"M. M. Keeravani, Mohana Bhogaraju, Sandilya Pisapati",Bimbisara
Sirivennela,"Anurag Kulkarni, Mickey J. Meyer",Shyam Singha Roy 
Yemito,Haricharan,Andala Rakshasi (Original Motion Picture Soundtrack)
Kalaavathi,"Thaman S, Sid Sriram",Sarkaru Vaari Paata
Nuvvunte Naa Jathagaa,"A.R. Rahman, Sid Sriram, Issrath Quadhri",I - Manoharudu (Original Motion Picture Soundtrack)
Ramuloo Ramulaa - Duet,"Anurag Kulkarni, Mangli, Thaman S",Ala Vaikunthapurramuloo
Samajavaragamana,Sid Sriram,Ala Vaikunthapurramuloo
"Hoyna Hoyna (From ""Gang Leader"")","Anirudh Ravichander, Inno Genga","Hoyna Hoyna (From ""Gang Leader"")"
Arere Yekkada,"Naresh Iyer\, Manisha Eerabathini",Nenu Local
Seethakaalam,Yazin Nizar,Son Of Satyamurthy
"Padi Padi Leche (From ""Padi Padi Leche Manasu"")","Armaan Malik, Sinduri Vishal, Vishal Chandrashekhar","Padi Padi Leche (From ""Padi Padi Leche Manasu"")"
Pillaa Raa,Anurag Kulkarni,RX 100
Undiporaadhey,Sid Sriram,Hushaaru
Choosa Choosa,"Padmalatha\, Sniggy",Dhruva
Crazy Feeling,Prudhvi Chandra,Nenu Sailaja
Nenu Nuvvantu,"Naresh Iyer\, Nadeesh\, U.V.Jackey",Orange
Anaganaganaga,Armaan Malik,Aravindha Sametha
Nee Kannu Neeli Samudram - Telugu,"Javed Ali, Devi Sri Prasad",Uppena
Yenti Yenti,Chinmayi,Expectional Music Of Gopi Sundar
Guruvaram,Vijay Prakash,Kirrak Party
Gaali Vaaluga,Anirudh Ravichander,Agnyaathavaasi
Undipova - Telugu,"Spoorthi Jithender, Shekar Chandra",Savaari
Idhedho Bagundhe,"Vijay Prakash\, Anitha",Mirchi
Naalo Chilipi Kala (Theme Song),Yazin Nizar,Lover
"Pakka Local (From ""Janatha Garage"")","Geetha Madhuri, Sagar",Dsp Musical Hits
Manasu Maree,"Amit Trivedi\, Shashaa Tirupati\, Yazin Nizar",V
Telusaa Telusaa,"Jubin Nautiyal, Sameera Bharadwaj",Sarrainodu
"Chitti (From ""Jathi Ratnalu"")","Ram Miriyala, Radhan","Chitti (From ""Jathi Ratnalu"")"
Unnatundi Gundey,"Karthik, Chinmayi",Ninnu Kori
Vellipomaake,"Sid Sriram\, ADK",Saahasam Swaasaga Saagipo
O Madhu,Adnan Sami,Julai
Tharagathi Gadhi - Telugu,Kala Bhairava,Colour Photo
My Heart,KK,Jalsa
I Wanna Fly,"L. V. Revanth, Sanjith Hegde, Hiphop Tamizha",Revanth Telugu Hits
Violin Song,"David Simon\, Anitha",Idharammayilatho
"Prema Vennela (From ""Chitralahari"")",Sudharshan Ashok,"Prema Vennela (From ""Chitralahari"")"
"Nee Neeli Kannullona (From ""Dear Comrade"")","Gowtham Bharadwaj, Justin Prabhakaran","Nee Neeli Kannullona (From ""Dear Comrade"")"
"Bhalegundi Baalaa (From ""Sreekaram"")","Mickey J. Meyer, Penchal Das, Nutana Mohan","Bhalegundi Baalaa (From ""Sreekaram"")"
Ay Pilla - Telugu,"Haricharan, Pawan Ch",Love Story
"Kaanunna Kalyanam (From ""Sita Ramam (Telugu)"")","Vishal Chandrashekhar, Anurag Kulkarni, Sinduri Vishal","Kaanunna Kalyanam [From ""Sita Ramam (Telugu)""]"
"Kallolam (From ""Padi Padi Leche Manasu"")","Anurag Kulkarni, Vishal Chandrashekhar","Kallolam (From ""Padi Padi Leche Manasu"")"
Chiru Chiru,"Yuvan Shankar Raja, Haricharan, Sagar Desai",Awaara (Original Motion Picture Soundtrack)
