Track,Artist,Album
Sirimalle Puvvaa,S. Janaki,Padaharella Vayasu
Pagale Vennela,S. Janaki,Pooja Phalamu
Ennenno Janmala Bandham,"S. P. Balasubrahmanyam, Vani Jairam",Pooja
Kallalo Vunnadedo,S. Janaki,Anthuleni Katha
Neelavanka Thongi,"Ghantasala, P. Susheela",Rajakota Rahasyam
Nannu Vadali,"Ghantasala, P. Susheela",Manchi Manasulu
Oh Bangaru Rangulachilaka,"P. Susheela, S. P. Balasubrahmanyam",Thota Ramudu
"Saami Saami (From ""Pushpa The Rise Part - 01"")","Sunidhi Chauhan, Devi Sri Prasad","Saami Saami (From ""Pushpa The Rise Part - 01"")"
Gundellonaa,"Leon James, Anirudh Ravichander","Gundellonaa (From ""Ori Devuda"")"
Adirindey,Sanjith Hegde,Macherla Niyojakavargam
Hulala,"Sweekar Agasthi\, Silvia Anisha",Express Raja
Oh My God,Zubeen Garg,Oh My God
Manasu Maree,"Amit Trivedi\, Shashaa Tirupati\, Yazin Nizar",V
Aale Bale,"Hema Chandra\, Shravana Bhargavi",Teenmaar
Hello,Armaan Malik,Hello!
Hailo Hailessare,"Aditya Iyengar\, Rohith Paritala\, Mohana Bhogaraju\, Divya Divakar",Shatamanam Bhavati
